Sher,Response,translation_extracted_from_json,en_core_web_sm,en_core_web_md,en_core_web_lg
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो,"{
""translation"": ""No one will even shake hands, you will hug with enthusiasm, this is a city of new manners, meet with some distance.""
}","No one will even shake hands, you will hug with enthusiasm, this is a city of new manners, meet with some distance.","['shake', 'hands', 'hug', 'enthusiasm', 'city', 'new', 'manners', 'meet', 'distance']","['shake', 'hands', 'hug', 'enthusiasm', 'city', 'new', 'manners', 'meet', 'distance']","['shake', 'hands', 'hug', 'enthusiasm', 'city', 'new', 'manners', 'meet', 'distance']"
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए,"{
""translation"": ""We were yours, and you were ours, for we were captivated by the tresses of that beloved 'Mir'.""
}","We were yours, and you were ours, for we were captivated by the tresses of that beloved 'Mir'.","['captivated', 'tresses', 'beloved', 'Mir']","['captivated', 'tresses', 'beloved', 'Mir']","['captivated', 'tresses', 'beloved', 'Mir']"
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम,"{
""translation"": ""Take a glance of your own, why look at life through someone else's gaze, we have only one glance of our own.""
}","Take a glance of your own, why look at life through someone else's gaze, we have only one glance of our own.","['glance', 'look', 'life', 'gaze', 'glance']","['glance', 'look', 'life', 'gaze', 'glance']","['glance', 'look', 'life', 'gaze', 'glance']"
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो,"{
""translation"": ""How can there be a hole in the sky, friend, throw a stone and see!""
}","How can there be a hole in the sky, friend, throw a stone and see!","['hole', 'sky', 'friend', 'throw', 'stone']","['hole', 'sky', 'friend', 'throw', 'stone']","['hole', 'sky', 'friend', 'throw', 'stone']"
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"{
""translation"": ""We had assumed that you won't betray, but we'll be reduced to dust by the time you get the news.""
}","We had assumed that you won't betray, but we'll be reduced to dust by the time you get the news.","['assumed', 'wo', 'betray', 'reduced', 'dust', 'time', 'news']","['assumed', 'wo', 'betray', 'reduced', 'dust', 'time', 'news']","['assumed', 'wo', 'betray', 'reduced', 'dust', 'time', 'news']"
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है,"{
""translation"": ""This is the humble tale of a word of love; when it contracts, it fills the lover's heart, and when it expands, it fills the entire era.""
}","This is the humble tale of a word of love; when it contracts, it fills the lover's heart, and when it expands, it fills the entire era.","['humble', 'tale', 'word', 'love', 'contracts', 'fills', 'lover', 'heart', 'expands', 'fills', 'entire', 'era']","['humble', 'tale', 'word', 'love', 'contracts', 'fills', 'lover', 'heart', 'expands', 'fills', 'entire', 'era']","['humble', 'tale', 'word', 'love', 'contracts', 'fills', 'lover', 'heart', 'expands', 'fills', 'entire', 'era']"
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया,"{
""translation"": ""All plans failed, no medicine worked, saw that this heart disease finally succeeded in the end.""
}","All plans failed, no medicine worked, saw that this heart disease finally succeeded in the end.","['plans', 'failed', 'medicine', 'worked', 'saw', 'heart', 'disease', 'finally', 'succeeded', 'end']","['plans', 'failed', 'medicine', 'worked', 'saw', 'heart', 'disease', 'finally', 'succeeded', 'end']","['plans', 'failed', 'medicine', 'worked', 'saw', 'heart', 'disease', 'finally', 'succeeded', 'end']"
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"{
""translation"": ""The desire for martyrdom is now in our hearts, let's see how much strength is in the arms of the executioner.""
}","The desire for martyrdom is now in our hearts, let's see how much strength is in the arms of the executioner.","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'executioner']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'executioner']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'executioner']"
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया,"{
""translation"": ""The wounds of the heart never let me live in peace, when the cold wind blew, I remembered you.""
}","The wounds of the heart never let me live in peace, when the cold wind blew, I remembered you.","['wounds', 'heart', 'let', 'live', 'peace', 'cold', 'wind', 'blew', 'remembered']","['wounds', 'heart', 'let', 'live', 'peace', 'cold', 'wind', 'blew', 'remembered']","['wounds', 'heart', 'let', 'live', 'peace', 'cold', 'wind', 'blew', 'remembered']"
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा,"{
""translation"": ""For thousands of years, the narcissus flower has been crying over its own helplessness, it is very difficult for a beauty like yours to be born in the garden.""
}","For thousands of years, the narcissus flower has been crying over its own helplessness, it is very difficult for a beauty like yours to be born in the garden.","['thousands', 'years', 'narcissus', 'flower', 'crying', 'helplessness', 'difficult', 'beauty', 'like', 'born', 'garden']","['thousands', 'years', 'narcissus', 'flower', 'crying', 'helplessness', 'difficult', 'beauty', 'like', 'born', 'garden']","['thousands', 'years', 'narcissus', 'flower', 'crying', 'helplessness', 'difficult', 'beauty', 'like', 'born', 'garden']"
