Sher,Response,meaning,en_core_web_lg,en_core_web_md,en_core_web_sm,en_core_web_lg_non_hindi,en_core_web_md_non_hindi,en_core_web_sm_non_hindi
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो,"{
""sher"": ""कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो"",
""explanation"": ""In this city of new attitudes, don't rush into hugging someone, because no one will even shake hands with you. Keep a distance and interact cautiously.""
}","In this city of new attitudes, don't rush into hugging someone, because no one will even shake hands with you. Keep a distance and interact cautiously.","['city', 'new', 'attitudes', 'rush', 'hugging', 'shake', 'hands', 'distance', 'interact', 'cautiously']","['city', 'new', 'attitudes', 'rush', 'hugging', 'shake', 'hands', 'distance', 'interact', 'cautiously']","['city', 'new', 'attitudes', 'rush', 'hugging', 'shake', 'hands', 'distance', 'interact', 'cautiously']","['city', 'new', 'attitudes', 'rush', 'hugging', 'shake', 'hands', 'distance', 'interact', 'cautiously']","['city', 'new', 'attitudes', 'rush', 'hugging', 'shake', 'hands', 'distance', 'interact', 'cautiously']","['city', 'new', 'attitudes', 'rush', 'hugging', 'shake', 'hands', 'distance', 'interact', 'cautiously']"
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए,"{
""sher"": ""हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए"",
""explanation"": ""When I became yours and you became mine, then 'Mir' (a great poet) too became captive to the tresses of that beloved. The poet is implying that even a great poet like Mir Taqi Mir would be captivated by the beauty of the beloved.""
}","When I became yours and you became mine, then 'Mir' (a great poet) too became captive to the tresses of that beloved. The poet is implying that even a great poet like Mir Taqi Mir would be captivated by the beauty of the beloved.","['Mir', 'great', 'poet', 'captive', 'tresses', 'beloved', 'poet', 'implying', 'great', 'poet', 'like', 'Mir', 'Taqi', 'Mir', 'captivated', 'beauty', 'beloved']","['Mir', 'great', 'poet', 'captive', 'tresses', 'beloved', 'poet', 'implying', 'great', 'poet', 'like', 'Mir', 'Taqi', 'Mir', 'captivated', 'beauty', 'beloved']","['Mir', 'great', 'poet', 'captive', 'tresses', 'beloved', 'poet', 'implying', 'great', 'poet', 'like', 'Mir', 'Taqi', 'Mir', 'captivated', 'beauty', 'beloved']","['Mir', 'great', 'poet', 'captive', 'tresses', 'beloved', 'poet', 'implying', 'great', 'poet', 'like', 'Mir', 'Taqi', 'Mir', 'captivated', 'beauty', 'beloved']","['Mir', 'great', 'poet', 'captive', 'tresses', 'beloved', 'poet', 'implying', 'great', 'poet', 'like', 'Mir', 'Taqi', 'Mir', 'captivated', 'beauty', 'beloved']","['Mir', 'great', 'poet', 'captive', 'tresses', 'beloved', 'poet', 'implying', 'great', 'poet', 'like', 'Mir', 'Taqi', 'Mir', 'captivated', 'beauty', 'beloved']"
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम,"{
""sher"": ""ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम"",
""explanation"": ""The poet is saying that we have our own vision/perspective, so why do we see life from someone else's point of view? The sher is encouraging self-reflection and independence of thought, rather than being influenced by others' opinions.""
}","The poet is saying that we have our own vision/perspective, so why do we see life from someone else's point of view? The sher is encouraging self-reflection and independence of thought, rather than being influenced by others' opinions.","['poet', 'saying', 'vision', 'perspective', 'life', 'point', 'view', 'sher', 'encouraging', 'self', 'reflection', 'independence', 'thought', 'influenced', 'opinions']","['poet', 'saying', 'vision', 'perspective', 'life', 'point', 'view', 'sher', 'encouraging', 'self', 'reflection', 'independence', 'thought', 'influenced', 'opinions']","['poet', 'saying', 'vision', 'perspective', 'life', 'point', 'view', 'sher', 'encouraging', 'self', 'reflection', 'independence', 'thought', 'influenced', 'opinions']","['poet', 'saying', 'vision', 'perspective', 'life', 'point', 'view', 'sher', 'encouraging', 'self', 'reflection', 'independence', 'thought', 'influenced', 'opinions']","['poet', 'saying', 'vision', 'perspective', 'life', 'point', 'view', 'sher', 'encouraging', 'self', 'reflection', 'independence', 'thought', 'influenced', 'opinions']","['poet', 'saying', 'vision', 'perspective', 'life', 'point', 'view', 'sher', 'encouraging', 'self', 'reflection', 'independence', 'thought', 'influenced', 'opinions']"
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो,"{
""sher"": ""कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो"",
""translation"": ""How can there be no hole in the sky, throw a stone and see for yourself, friends!"",
""explanation"": ""The poet is saying that certain things are impossible to deny or ignore. The phrase 'कैसे आकाश में सूरakh नहीं हो सकता' (how can there be no hole in the sky) is a rhetorical question, implying that it's impossible to ignore the truth. The second part 'एक पत्थर तो तबीअ'त से उछालो' (throw a stone and see for yourself) suggests that if you don't believe something, try it out for yourself and you'll see the truth. The poet is encouraging the listener to take action and experience the truth firsthand, rather than just relying on what others say.""
}","The poet is saying that certain things are impossible to deny or ignore. The phrase 'कैसे आकाश में सूरakh नहीं हो सकता' (how can there be no hole in the sky) is a rhetorical question, implying that it's impossible to ignore the truth. The second part 'एक पत्थर तो तबीअ'त से उछालो' (throw a stone and see for yourself) suggests that if you don't believe something, try it out for yourself and you'll see the truth. The poet is encouraging the listener to take action and experience the truth firsthand, rather than just relying on what others say.","['poet', 'saying', 'certain', 'things', 'impossible', 'deny', 'ignore', 'phrase', 'कैसे', 'आकाश', 'में', 'सूरakh', 'नहीं', 'हो', 'सकता', 'hole', 'sky', 'rhetorical', 'question', 'implying', 'impossible', 'ignore', 'truth', 'second', 'एक', 'पत्थर', 'तो', ""तबीअ'त"", 'से', 'उछालो', 'throw', 'stone', 'suggests', 'believe', 'try', 'truth', 'poet', 'encouraging', 'listener', 'action', 'experience', 'truth', 'firsthand', 'relying']","['poet', 'saying', 'certain', 'things', 'impossible', 'deny', 'ignore', 'phrase', 'कैसे', 'आकाश', 'में', 'सूरakh', 'नहीं', 'हो', 'सकता', 'hole', 'sky', 'rhetorical', 'question', 'implying', 'impossible', 'ignore', 'truth', 'second', 'एक', 'पत्थर', 'तो', ""तबीअ'त"", 'से', 'उछालो', 'throw', 'stone', 'suggests', 'believe', 'try', 'truth', 'poet', 'encouraging', 'listener', 'action', 'experience', 'truth', 'firsthand', 'relying']","['poet', 'saying', 'certain', 'things', 'impossible', 'deny', 'ignore', 'phrase', 'कैसे', 'आकाश', 'में', 'सूरakh', 'नहीं', 'हो', 'सकता', 'hole', 'sky', 'rhetorical', 'question', 'implying', 'impossible', 'ignore', 'truth', 'second', 'एक', 'पत्थर', 'तो', ""तबीअ'त"", 'से', 'उछालो', 'throw', 'stone', 'suggests', 'believe', 'try', 'truth', 'poet', 'encouraging', 'listener', 'action', 'experience', 'truth', 'firsthand', 'relying']","['poet', 'saying', 'certain', 'things', 'impossible', 'deny', 'ignore', 'phrase', 'hole', 'sky', 'rhetorical', 'question', 'implying', 'impossible', 'ignore', 'truth', 'second', 'throw', 'stone', 'suggests', 'believe', 'try', 'truth', 'poet', 'encouraging', 'listener', 'action', 'experience', 'truth', 'firsthand', 'relying']","['poet', 'saying', 'certain', 'things', 'impossible', 'deny', 'ignore', 'phrase', 'hole', 'sky', 'rhetorical', 'question', 'implying', 'impossible', 'ignore', 'truth', 'second', 'throw', 'stone', 'suggests', 'believe', 'try', 'truth', 'poet', 'encouraging', 'listener', 'action', 'experience', 'truth', 'firsthand', 'relying']","['poet', 'saying', 'certain', 'things', 'impossible', 'deny', 'ignore', 'phrase', 'hole', 'sky', 'rhetorical', 'question', 'implying', 'impossible', 'ignore', 'truth', 'second', 'throw', 'stone', 'suggests', 'believe', 'try', 'truth', 'poet', 'encouraging', 'listener', 'action', 'experience', 'truth', 'firsthand', 'relying']"
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"{
""sher"": ""हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक"",
""explanation"": ""We have accepted that you won't recognize us, but we will be reduced to dust by the time you get to know us."",
""meaning"": ""The speaker is saying that they have given up hope of being recognized or appreciated by someone. They believe that by the time that person realizes their worth, they will be long gone, having left their mark or impression.""
}","The speaker is saying that they have given up hope of being recognized or appreciated by someone. They believe that by the time that person realizes their worth, they will be long gone, having left their mark or impression.","['speaker', 'saying', 'given', 'hope', 'recognized', 'appreciated', 'believe', 'time', 'person', 'realizes', 'worth', 'long', 'gone', 'having', 'left', 'mark', 'impression']","['speaker', 'saying', 'given', 'hope', 'recognized', 'appreciated', 'believe', 'time', 'person', 'realizes', 'worth', 'long', 'gone', 'having', 'left', 'mark', 'impression']","['speaker', 'saying', 'given', 'hope', 'recognized', 'appreciated', 'believe', 'time', 'person', 'realizes', 'worth', 'long', 'gone', 'having', 'left', 'mark', 'impression']","['speaker', 'saying', 'given', 'hope', 'recognized', 'appreciated', 'believe', 'time', 'person', 'realizes', 'worth', 'long', 'gone', 'having', 'left', 'mark', 'impression']","['speaker', 'saying', 'given', 'hope', 'recognized', 'appreciated', 'believe', 'time', 'person', 'realizes', 'worth', 'long', 'gone', 'having', 'left', 'mark', 'impression']","['speaker', 'saying', 'given', 'hope', 'recognized', 'appreciated', 'believe', 'time', 'person', 'realizes', 'worth', 'long', 'gone', 'having', 'left', 'mark', 'impression']"
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है,"{
""sher"": ""इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है"",
""translation"": ""One word of love has this trivial tale, if it shrinks, it's the heart of the lover, if it spreads, it's the world"",
""explanation"": ""This sher highlights the immense power of a single word of love. If love is confined or shrinks, it will be limited to the heart of the lover, but if it spreads, it can encompass the entire world. The poet is emphasizing the transformative power of love.""
}","This sher highlights the immense power of a single word of love. If love is confined or shrinks, it will be limited to the heart of the lover, but if it spreads, it can encompass the entire world. The poet is emphasizing the transformative power of love.","['sher', 'highlights', 'immense', 'power', 'single', 'word', 'love', 'love', 'confined', 'shrinks', 'limited', 'heart', 'lover', 'spreads', 'encompass', 'entire', 'world', 'poet', 'emphasizing', 'transformative', 'power', 'love']","['sher', 'highlights', 'immense', 'power', 'single', 'word', 'love', 'love', 'confined', 'shrinks', 'limited', 'heart', 'lover', 'spreads', 'encompass', 'entire', 'world', 'poet', 'emphasizing', 'transformative', 'power', 'love']","['sher', 'highlights', 'immense', 'power', 'single', 'word', 'love', 'love', 'confined', 'shrinks', 'limited', 'heart', 'lover', 'spreads', 'encompass', 'entire', 'world', 'poet', 'emphasizing', 'transformative', 'power', 'love']","['sher', 'highlights', 'immense', 'power', 'single', 'word', 'love', 'love', 'confined', 'shrinks', 'limited', 'heart', 'lover', 'spreads', 'encompass', 'entire', 'world', 'poet', 'emphasizing', 'transformative', 'power', 'love']","['sher', 'highlights', 'immense', 'power', 'single', 'word', 'love', 'love', 'confined', 'shrinks', 'limited', 'heart', 'lover', 'spreads', 'encompass', 'entire', 'world', 'poet', 'emphasizing', 'transformative', 'power', 'love']","['sher', 'highlights', 'immense', 'power', 'single', 'word', 'love', 'love', 'confined', 'shrinks', 'limited', 'heart', 'lover', 'spreads', 'encompass', 'entire', 'world', 'poet', 'emphasizing', 'transformative', 'power', 'love']"
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया,"{
""sher"": ""उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया"",
""explanation"": ""All attempts were reversed, no medicine worked. Finally, this disease of the heart has taken its toll. The sher is saying that despite trying everything, nothing could cure the heartache and in the end, the heart has given up.""
}","All attempts were reversed, no medicine worked. Finally, this disease of the heart has taken its toll. The sher is saying that despite trying everything, nothing could cure the heartache and in the end, the heart has given up.","['attempts', 'reversed', 'medicine', 'worked', 'Finally', 'disease', 'heart', 'taken', 'toll', 'sher', 'saying', 'despite', 'trying', 'cure', 'heartache', 'end', 'heart', 'given']","['attempts', 'reversed', 'medicine', 'worked', 'Finally', 'disease', 'heart', 'taken', 'toll', 'sher', 'saying', 'despite', 'trying', 'cure', 'heartache', 'end', 'heart', 'given']","['attempts', 'reversed', 'medicine', 'worked', 'Finally', 'disease', 'heart', 'taken', 'toll', 'sher', 'saying', 'despite', 'trying', 'cure', 'heartache', 'end', 'heart', 'given']","['attempts', 'reversed', 'medicine', 'worked', 'Finally', 'disease', 'heart', 'taken', 'toll', 'sher', 'saying', 'despite', 'trying', 'cure', 'heartache', 'end', 'heart', 'given']","['attempts', 'reversed', 'medicine', 'worked', 'Finally', 'disease', 'heart', 'taken', 'toll', 'sher', 'saying', 'despite', 'trying', 'cure', 'heartache', 'end', 'heart', 'given']","['attempts', 'reversed', 'medicine', 'worked', 'Finally', 'disease', 'heart', 'taken', 'toll', 'sher', 'saying', 'despite', 'trying', 'cure', 'heartache', 'end', 'heart', 'given']"
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"{
""sher"": ""सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है"",
""explanation"": ""The desire for martyrdom is now in our hearts, let's see how much strength is in the arms of the assassin."",
""note"": ""This sher is a famous couplet from the Indian freedom movement. It talks about the willingness to sacrifice one's life for the cause of independence and the readiness to face the consequences, including death, at the hands of the colonial rulers.""
}","The desire for martyrdom is now in our hearts, let's see how much strength is in the arms of the assassin.","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'assassin']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'assassin']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'assassin']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'assassin']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'assassin']","['desire', 'martyrdom', 'hearts', 'let', 'strength', 'arms', 'assassin']"
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा,"{
""sher"": ""हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा"",
""explanation"": ""The Narcissus flower cries for thousands of years over its own insignificance, it's very difficult for a glimpse-worthy beauty to bloom in the garden."",
""meaning"": ""This sher is a commentary on the fleeting nature of beauty and its rarity. The Narcissus flower, which is know for its beauty, is crying over its own insignificance, implying that even the most beautiful things are not immune to feeling worthless. It's a reminder that it takes a lot for someone or something to truly stand out and be remarkable.""
}","This sher is a commentary on the fleeting nature of beauty and its rarity. The Narcissus flower, which is know for its beauty, is crying over its own insignificance, implying that even the most beautiful things are not immune to feeling worthless. It's a reminder that it takes a lot for someone or something to truly stand out and be remarkable.","['sher', 'commentary', 'fleeting', 'nature', 'beauty', 'rarity', 'Narcissus', 'flower', 'know', 'beauty', 'crying', 'insignificance', 'implying', 'beautiful', 'things', 'immune', 'feeling', 'worthless', 'reminder', 'takes', 'lot', 'truly', 'stand', 'remarkable']","['sher', 'commentary', 'fleeting', 'nature', 'beauty', 'rarity', 'Narcissus', 'flower', 'know', 'beauty', 'crying', 'insignificance', 'implying', 'beautiful', 'things', 'immune', 'feeling', 'worthless', 'reminder', 'takes', 'lot', 'truly', 'stand', 'remarkable']","['sher', 'commentary', 'fleeting', 'nature', 'beauty', 'rarity', 'Narcissus', 'flower', 'know', 'beauty', 'crying', 'insignificance', 'implying', 'beautiful', 'things', 'immune', 'feeling', 'worthless', 'reminder', 'takes', 'lot', 'truly', 'stand', 'remarkable']","['sher', 'commentary', 'fleeting', 'nature', 'beauty', 'rarity', 'Narcissus', 'flower', 'know', 'beauty', 'crying', 'insignificance', 'implying', 'beautiful', 'things', 'immune', 'feeling', 'worthless', 'reminder', 'takes', 'lot', 'truly', 'stand', 'remarkable']","['sher', 'commentary', 'fleeting', 'nature', 'beauty', 'rarity', 'Narcissus', 'flower', 'know', 'beauty', 'crying', 'insignificance', 'implying', 'beautiful', 'things', 'immune', 'feeling', 'worthless', 'reminder', 'takes', 'lot', 'truly', 'stand', 'remarkable']","['sher', 'commentary', 'fleeting', 'nature', 'beauty', 'rarity', 'Narcissus', 'flower', 'know', 'beauty', 'crying', 'insignificance', 'implying', 'beautiful', 'things', 'immune', 'feeling', 'worthless', 'reminder', 'takes', 'lot', 'truly', 'stand', 'remarkable']"
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है,"{
""sher"": ""नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है"",
""explanation"": {
""meaning"": ""The tenderness of her lips is like a delicate petal of a rose."",
""poeticdevices"": [""simile""],
""theme"": ""beauty"",
""feeling"": ""admiration""
}
}",The tenderness of her lips is like a delicate petal of a rose.,"['tenderness', 'lips', 'like', 'delicate', 'petal', 'rose']","['tenderness', 'lips', 'like', 'delicate', 'petal', 'rose']","['tenderness', 'lips', 'like', 'delicate', 'petal', 'rose']","['tenderness', 'lips', 'like', 'delicate', 'petal', 'rose']","['tenderness', 'lips', 'like', 'delicate', 'petal', 'rose']","['tenderness', 'lips', 'like', 'delicate', 'petal', 'rose']"
